Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,ProductionSchedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Schedule dashboard,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,PRIORITY SEQUENCE,Column1,Column12,Real Status,PRIORITY2,Completed Sections,Remaining Sections,Column4
74449-1,,BALA,Regular,FALSE,74449,Regular,1,1,0,316,F5-4',BBRLED-400-80-40-FL-4-W-UNV-DP-1-TB15,12/10/2018,2.416,Wiring Started,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,C - Small,12,1,1,Picked - Complete,,Picked - Complete,OK,Wiring Started,,12/10/2018,,1,#REF!,Complete,0,FALSE,0,74449-1,0.040266667,0:02:12,2.416,316,1,2.42,316.00,,0,12/10/2018,Given to Shipping,,0,1,
75255-1,,BALA,Regular,FALSE,75255,High Priority,1,9,0,2925,L15-I-4',SCS-400-80-35-FL-4'-W-UNV-DP-1-S,25/10/2018,43.191,Scheduled/Released,,,,,FALSE,,A - Regular,1,9,9,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,#REF!,Complete,0,FALSE,0,- ,0.71985,0:39:18,4.799,325,9,43.19,2925.00,,- ,- ,Scheduled/Released,,0,9,
75255-2,,BALA,Regular,FALSE,75255,High Priority,2,1,0,325,L15E-I-4',SCS-400-80-35-FL-4'-W-UNV-DP-1+E(1)-S,25/10/2018,4.799,Scheduled/Released,,,,,FALSE,,A - Regular,1,1,1,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.079983333,0:04:22,4.799,325,1,4.80,325.00,,- ,- ,Scheduled/Released,,0,1,
75255-3,,BALA,Regular,FALSE,75255,High Priority,3,17,0,13175,L15-L-4'X4',SCS-400-80-35-FL-K(4'X4')-W-UNV-DP-1-S,25/10/2018,194.31,Scheduled/Released,,,,,FALSE,,A - Regular,1,17,17,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,3.2385,2:56:49,11.43,775,17,194.31,13175.00,,- ,- ,Scheduled/Released,,0,17,
75255-4,,BALA,Regular,FALSE,75255,High Priority,4,6,0,4650,L15E-L-4'X4',SCS-400-80-35-FL-K(4'X4')-W-UNV-DP-1+E(1)-S,25/10/2018,61.68,Scheduled/Released,,,,,FALSE,,A - Regular,1,6,12,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,1.028,0:56:08,10.28,775,6,61.68,4650.00,,- ,- ,Scheduled/Released,,0,6,
75255-5,,BALA,Regular,FALSE,75255,High Priority,5,4,0,4900,L15-T-8'X4',SCS-400-80-35-FL-K(8'X4')-W-UNV-DP-1-S-C(T SHAPE),25/10/2018,103.6,Scheduled/Released,,,,,FALSE,,A - Regular,1,16,4,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,1.726666667,1:34:17,6.475,306.25,16,103.60,4900.00,,- ,- ,Scheduled/Released,,0,16,
75255-6,,BALA,Regular,FALSE,75255,High Priority,6,3,0,3675,L15E-T-8'X4',SCS-400-80-35-FL-K(8'X4')-W-UNV-DP-1+E(1)-S-C(T SHAPE),25/10/2018,92.46,Scheduled/Released,,,,,FALSE,,A - Regular,1,12,6,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,1.541,1:24:08,7.705,306.25,12,92.46,3675.00,,- ,- ,Scheduled/Released,,0,12,
75255-7,,BALA,Regular,FALSE,75255,High Priority,7,2,0,2450,L15-Z(A)-4'X4'X4',SCS-400-80-35-FL-K(4'X4'X4')-W-UNV-DP -1-S-C(90° Z SHAPE),25/10/2018,34.56,Scheduled/Released,,,,,FALSE,,A - Regular,1,4,2,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.576,0:31:27,8.64,612.5,4,34.56,2450.00,,- ,- ,Scheduled/Released,,0,4,
75255-8,,BALA,Regular,FALSE,75255,High Priority,8,3,0,3675,L15E-Z(A),SCS-400-80-35-FL-K(4'X4'X4')-W-UNV-DP -1+E(1)-S-C(90° Z SHAPE),25/10/2018,61.68,Scheduled/Released,,,,,FALSE,,A - Regular,1,6,6,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,1.028,0:56:08,10.28,612.5,6,61.68,3675.00,,- ,- ,Scheduled/Released,,0,6,
75255-9,,BALA,Regular,FALSE,75255,High Priority,9,1,0,1225,L15-Z(B)-4'X4'X4',SCS-400-80-35-FL-K(4'X4'X4')-W-UNV-DP -1-S-C(90° Z SHAPE),25/10/2018,0,Scheduled/Released,,,,,FALSE,,A - Regular,1,2,1,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0,0:00:00,0,612.5,2,0.00,1225.00,,- ,- ,Scheduled/Released,,0,2,
74449-2,,BALA,Regular,FALSE,74449,Regular,2,1,0,474,F5-6',BBRLED-400-80-40-FL-6-W-UNV-DP-1-DF,12/10/2018,4.635,Wiring Started,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,C - Small,12,1,2,Picked - Complete,,Picked - Complete,OK,Wiring Started,,12/10/2018,,0,#REF!,Complete,0,FALSE,0,74449-2,0.07725,0:04:13,4.635,474,1,4.64,474.00,,0,12/10/2018,Given to Shipping,,0,1,
74449-3,,BALA,Regular,FALSE,74449,Regular,3,1,0,632,F5-8',BBRLED-400-80-40-FL-8-W-UNV-DP-1-DF,12/10/2018,4.635,Wiring Started,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,C - Small,12,1,2,Picked - Complete,,Picked - Complete,OK,Wiring Started,,12/10/2018,,0,#REF!,Complete,0,FALSE,0,74449-3,0.07725,0:04:13,4.635,632,1,4.64,632.00,,0,12/10/2018,Given to Shipping,,0,1,
74449-4,,BALA,Regular,FALSE,74449,Regular,4,1,0,948,F5-12',BBRLED-400-80-40-FL-12-W-UNV-DP-1-TB15,12/10/2018,6.48,Wiring Started,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,C - Small,12,1,3,Picked - Complete,,Picked - Complete,OK,Wiring Started,,12/10/2018,,0,#REF!,Complete,0,FALSE,0,74449-4,0.108,0:05:54,6.48,948,1,6.48,948.00,,0,12/10/2018,Given to Shipping,,0,1,
74441-1,,BALA,Regular,FALSE,74441,Regular,1,4,0,2400,A,BRLED-750-90-30-FL-8-W-UNV-DP-1-TB15,12/10/2018,25.304,Wiring Started,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,A - Regular,12,4,8,Picked - Complete,,Picked - Complete,OK,Wiring Started,,12/10/2018,,1,#REF!,Complete,0,FALSE,0,74441-1,0.421733333,0:23:02,6.326,600,4,25.30,2400.00,,0,12/10/2018,Packaging Finished,,0,4,
74441-2,,BALA,Regular,FALSE,74441,Regular,2,7,0,6300,B,BRLED-750-90-30-FL-12-W-UNV-DP-1-TB15,12/10/2018,63.112,Wiring Started,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,A - Regular,12,7,21,Picked - Complete,,Picked - Complete,OK,Wiring Started,,12/10/2018,,0,#REF!,Complete,0,FALSE,0,74441-2,1.051866667,0:57:26,9.016,900,7,63.11,6300.00,,0,12/10/2018,Packaging Finished,,0,7,
74414-1,,BALA,Regular,FALSE,74414,High Priority,1,3,0,2112,F-8' ALT,ARWLED-1000-90-30-S-8-W-UNV-DP-1,12/10/2018,10.23,Wiring Started,,Picked - Complete,,10/10/2018,FALSE,,C - Small,12,3,6,Picked - Complete,Picked - Complete,,OK,Wiring Started,,12/10/2018,,1,#REF!,Complete,0,FALSE,0,74414-1,0.1705,0:09:19,3.41,704,3,10.23,2112.00,,0,12/10/2018,Packaging Finished,,0,3,
74373-1,,BALA,Regular,FALSE,74373,High Priority,1,5,0,1455.75,F7A,BMR-PL-FL-4'-EX-T5-2-W-UNV-D(MARK7)-1-TG9,12/10/2018,7.855,Machine Shop Finished,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,A - Regular,12,5,5,Picked - Complete,,Picked - Complete,OK,Machine Shop Finished -Ready,,12/10/2018,,1,#REF!,Complete,0,FALSE,0,74373-1,0.130916667,0:07:09,1.571,291.15,5,7.86,1455.75,,0,12/10/2018,Wiring Started,,0,5,
74373-2,,BALA,Regular,FALSE,74373,High Priority,2,5,0,2544.5,F7B,BMR-PL-FL-8'-EX-T5-2-W-UNV-D(MARK7)-1-TG9,12/10/2018,11.935,Machine Shop Finished,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,A - Regular,12,5,10,Picked - Complete,,Picked - Complete,OK,Machine Shop Finished -Ready,,12/10/2018,,0,#REF!,Complete,0,FALSE,0,74373-2,0.198916667,0:10:52,2.387,508.9,5,11.94,2544.50,,0,12/10/2018,Wiring Started,,0,5,
74373-3,,BALA,Regular,FALSE,74373,High Priority,3,1,0,726.7,F7C,BMR-PL-FL-12'-EX-T5-2-W-UNV-D(MARK7)-1-TG9,12/10/2018,3.198,Machine Shop Finished,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,A - Regular,12,1,3,Picked - Complete,,Picked - Complete,OK,Machine Shop Finished -Ready,,12/10/2018,,0,#REF!,Complete,0,FALSE,0,74373-3,0.0533,0:02:55,3.198,726.7,1,3.20,726.70,,0,12/10/2018,Wiring Started,,0,1,
74373-4,,BALA,Regular,FALSE,74373,High Priority,4,3,0,873.45,F6A,BMR-PL-FL-4'-EX-T5-2-W-UNV-D(MARK7)-1-TG9,12/10/2018,4.713,Machine Shop Finished,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,A - Regular,12,3,3,Picked - Complete,,Picked - Complete,OK,Machine Shop Finished -Ready,,12/10/2018,,0,#REF!,Complete,0,FALSE,0,74373-4,0.07855,0:04:17,1.571,291.15,3,4.71,873.45,,0,12/10/2018,Wiring Started,,0,3,
73989-1,,BALA,Regular,FALSE,73989,Regular,1,3,0,1950,A5-8',BBRLED-500-80-35-FL-8-W-UNV-DP-1-DS,12/10/2018,13.905,Wiring Started,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,C - Small,12,3,6,Picked - Complete,,Picked - Complete,OK,Wiring Started,,12/10/2018,,1,#REF!,Complete,0,FALSE,0,73989-1,0.23175,0:12:39,4.635,650,3,13.91,1950.00,,0,12/10/2018,Packaging Finished,,3,0,
73958-1,,BALA,Regular,FALSE,73958,Regular,1,1,0,1150,TUNNEL,WBRLED-750-90-35-S-8'-W-277-DP-1-DF,12/10/2018,6.249,Machine Shop Finished,SHIP NO LATER THAN OCT 19TH,Picked - Complete,,43383,FALSE,,C - Small,12,1,2,Picked - Complete,Picked - Complete,,#N/A,Machine Shop Finished,,12/10/2018,,1,#REF!,Complete,, ,,73958-1,0.10415,0:05:41,6.249,1150,1,6.25,1150.00,,0,12/10/2018,x,,0,1,
73890-1,,BALA,Regular,FALSE,73890,Regular,1,1,0,1670,E-12',TB4DILED-1100-400-80-35-SO-SO-12-BLK-120-DP-1-CTS(48),12/10/2018,13.346,Machine Shop Started,,Picked - Complete,08/10/2018,10/10/2018,TRUE,,C - Small,12,1,6,Picked - Complete,Picked - Complete,Picked - Complete,OK,Machine Shop Started,,12/10/2018,,1,1,Partial Order,Missing parts in BOM,TRUE,,73890-1,0.222433333,0:12:09,13.346,1670,1,13.35,1670.00,,0,12/10/2018,Machine Shop Finished,,0,1,
73707-1,,BALA,Mockup/Samples,FALSE,73707,Regular,1,1,270,270,A,STD-SO-400-80-35-2-C(B2601)-UNV-MD-1-CA(36)-RC-C(CORD & PLUG & DIMMER),12/10/2018,3.007,Machine Shop Finished,,Picked - Complete,08/10/2018,10/10/2018,TRUE,,C - Small,12,1,1,Picked - Complete,Picked - Complete,Picked - Complete,NO,Machine Shop Finished - Incomplete,Material,12/10/2018,,1,#REF!,Complete,Shortage,TRUE,,73707-1,0.050116667,0:02:44,3.007,270,1,3.01,270.00,,0,12/10/2018,Wiring Started,,0,1,
75146-1,,BALA,Regular,FALSE,75146,Regular,1,12,0,4200,A,DIALED-24-7000-80-35-VL-W-UNV-DP-1-TB15,18/10/2018,39.708,Scheduled/Released,,,,,FALSE,,A - Regular,10,12,24,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,1,Partial Order,0,FALSE,0,- ,0.6618,0:39:42,3.309,350,12,39.71,4200.00,,- ,- ,Scheduled/Released,,0,12,
75146-2,,BALA,Regular,FALSE,75146,Regular,2,2,0,1060,AE,DIALED-24-7000-80-35-VL-W-UNV-DP-1-TB15-B1(BSL310LP),18/10/2018,13.646,Scheduled/Released,,,,,FALSE,,A - Regular,10,2,4,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,1,Partial Order,Electrical issue,FALSE,Electrical issue,- ,0.227433333,0:13:39,6.823,530,2,13.65,1060.00,,- ,- ,Scheduled/Released,,0,2,
75146-3,,BALA,Regular,FALSE,75146,Regular,3,2,0,700,B,DIALED-24-5000-80-35-VL-W-UNV-DP-1-TB15,18/10/2018,6.618,Scheduled/Released,,,,,FALSE,,A - Regular,10,2,2,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.1103,0:06:37,3.309,350,2,6.62,700.00,,- ,- ,Scheduled/Released,,0,2,
75146-4,,BALA,Regular,FALSE,75146,Regular,4,3,0,750,CE,DIALED-22-2500-80-35-VL-W-UNV-DP-1-TB15,18/10/2018,8.25,Scheduled/Released,,,,,FALSE,,A - Regular,10,3,3,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.1375,0:08:15,2.75,250,3,8.25,750.00,,- ,- ,Scheduled/Released,,0,3,
73535-1,,BALA,NPI,FALSE,73535,Regular,1,1,250,250,A,NPI-N17005-GPRLED-NLNW-500-80-35-LV-4-W-UNV-DP-1-ST,12/10/2018,0,Machine Shop Started,NPI - GRAZE LOUVER,Picked - Complete,11/10/2018,10/10/2018,FALSE,,C - Small,12,1,1,Picked - Complete,Picked - Complete,Picked - Complete,NO,Machine Shop Started,Material+Cartridge,NPI,,1,1,Partial Order,0,FALSE,0,73535-1,0,0:00:00,0,250,1,0.00,250.00,,0,NPI,Machine Shop Finished,,0,1,
73535-2,,BALA,NPI,FALSE,73535,Regular,2,1,200,200,B,NPI-N18003-GPDLED-500-80-35-LV-4-W-UNV-DP-1-CA(36),12/10/2018,0,Machine Shop Finished,NPI - GRAZE LOUVER,Picked - Complete,11/10/2018,10/10/2018,FALSE,,C - Small,12,1,1,Picked - Complete,Picked - Complete,Picked - Complete,NO,Machine Shop Finished - Incomplete,Material+Cartridge,NPI,,1,1,Partial Order,0,FALSE,0,73535-2,0,0:00:00,0,200,1,0.00,200.00,,0,NPI,Machine Shop Finished,,0,1,
75142-1,,BALA,Regular,FALSE,75142,Regular,1,1,0,190,R5,WALED-22-4000-80-30-VL-W-UNV-DP-1-TB15,24/10/2018,2.589,Scheduled/Released,,,,,FALSE,,C - Small,10,1,1,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,#REF!,Complete,0,FALSE,0,- ,0.04315,0:02:35,2.589,190,1,2.59,190.00,,- ,- ,Scheduled/Released,,0,1,
75142-2,,BALA,Regular,FALSE,75142,Regular,2,1,0,370,R5 EM,WALED-22-4000-80-30-VL-W-UNV-DP-1-TB15-B1(BSL10LST),24/10/2018,6.103,Scheduled/Released,,,,,FALSE,,C - Small,10,1,1,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.101716667,0:06:06,6.103,370,1,6.10,370.00,,- ,- ,Scheduled/Released,,0,1,
73363-1,,BALA,Regular,FALSE,73363,High Priority,1,2,0,1200,M1,SCR-500-90-30-FL-10-W-277-DP-1-MFTG9,12/10/2018,15.008,Wiring Started,,Picked - Complete,,10/10/2018,FALSE,,A - Regular,12,2,4,Picked - Complete,Picked - Complete,,OK,Wiring Started,,12/10/2018,,1,#REF!,Complete,0,FALSE,0,73363-1,0.250133333,0:13:39,7.504,600,2,15.01,1200.00,,0,12/10/2018,Given to Shipping,,0,2,
73363-2,,BALA,Regular,FALSE,73363,High Priority,2,7,0,5460,M2,SCR-500-90-30-FL-12-W-277-DP-1-D,12/10/2018,52.528,Wiring Started,,Picked - Complete,,10/10/2018,FALSE,,A - Regular,12,7,14,Picked - Complete,Picked - Complete,,OK,Wiring Started,,12/10/2018,,0,#REF!,Complete,0,FALSE,0,73363-2,0.875466667,0:47:48,7.504,780,7,52.53,5460.00,,0,12/10/2018,Given to Shipping,,0,7,
72849-12,,BALA,Regular,FALSE,72849,High Priority,12,3,0,1800,P,"BBRLED-750-80-35-FL-96""-W-UNV-DP-1-ST-C(ST+DS)",12/10/2018,13.905,Wiring Started,MUST SHIP NO LATER THAN oct 12TH,Picked - Complete,08/10/2018,10/10/2018,FALSE,,A - Regular,12,6,9,Picked - Complete,,Picked - Complete,OK,Wiring Started,,,,1,#REF!,Complete,Mechanical issue,FALSE,Mechanical issue,72849-12,0.23175,0:12:39,2.3175,300,6,13.91,1800.00,,0,12/10/2018,Wiring Started,,0,6,
72849-14,,BALA,Regular,FALSE,72849,High Priority,14,3,0,1800,R,"BBRLED-750-80-35-FL-96""-W-UNV-DP-1-ST-C(ST+DS)",12/10/2018,13.905,Wiring Started,MUST SHIP NO LATER THAN oct 12TH,Picked - Complete,08/10/2018,10/10/2018,FALSE,,A - Regular,12,6,9,Picked - Complete,,Picked - Complete,OK,Wiring Started,,,,0,#REF!,Complete,Mechanical issue,FALSE,Mechanical issue,72849-14,0.23175,0:12:39,2.3175,300,6,13.91,1800.00,,0,12/10/2018,Wiring Started,,0,6,
72849-16,,BALA,Regular,FALSE,72849,High Priority,16,6,0,3996,F-8' DS,BBRLED-750-80-35-FL-8'-W-UNV-DP-1-DS,12/10/2018,27.81,Wiring Started,MUST SHIP NO LATER THAN oct 12TH,Picked - Complete,08/10/2018,,FALSE,,A - Regular,12,6,12,,,Picked - Complete,OK,Wiring Started,,12/10/2018,,0,#REF!,Complete,0,FALSE,0,72849-16,0.4635,0:25:18,4.635,666,6,27.81,3996.00,,0,12/10/2018,Wiring Started,,0,6,
75100-1,,BALA,Replacement,FALSE,75100,Regular,1,10,0,3050,F9-4',CCL-SL-500-80-35-CL(4')-W-UNV-DP-1-AC,24/10/2018,35.86,Scheduled/Released,ON-SITE DATE OF 10/19,,,,FALSE,,C - Small,4,10,10,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,#REF!,Complete,0,FALSE,0,- ,0.597666667,0:32:38,3.586,305,10,35.86,3050.00,,- ,- ,Scheduled/Released,,0,10,
75514-1,,BALA,Mockup/Samples,FALSE,75514,High Priority,1,1,350,350,SAMPLE 4FT,B2SQILED-1000-90-35-SL-4-W-277-DP-1-CA(36)-C(CORD AND PLUG),15/10/2018,0,Scheduled/Released,ASAP so I can proceed for testing analysis to resolve customer issue (Please see Robert - aftersales),Picked - Complete,,,FALSE,,C - Small,12,1,1,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,1,Partial Order,Wrong info. In SD,TRUE,,- ,0,0:00:00,0,350,1,0.00,350.00,,- ,- ,Scheduled/Released,,0,1,
75379-1,,BALA,Replacement,FALSE,75379,Regular,1,1,1010,1010,L3-U,"BBDILED-640-400-80-35-SO-78 13/32""-EX-AP-UNV-DP-1-CA(36)-B1(BSL310LP)-C(1 LINEAR REPLACMENT SECTION)",15/10/2018,12.35,Machine Shop Finished,,Picked - Complete,09/10/2018,11/10/2018,FALSE,,C - Small,12,1,4,Picked - Complete,,Picked - Complete,OK,Machine Shop Finished -Ready,,12/10/2018,,1,#REF!,Complete,0,FALSE,0,- ,0.205833333,0:11:14,12.35,1010,1,12.35,1010.00,,- ,- ,Machine Shop Finished,,0,1,
